🖥️ Host selecionado: BRNOSADM01FW250 (ID: 10512)
📋 Total de itens encontrados: 3320

--- ITENS RELACIONADOS A WAN/INTERFACE ---
ID: 1409528 | Nome: Interface cenconet(b): Estimated upstream bandwidth | Key: fgIntfEntEstUpBandwidth.[20] | Valor: 0 bps
ID: 1409529 | Nome: Interface VLAN_WLAN12(): Estimated upstream bandwidth | Key: fgIntfEntEstUpBandwidth.[21] | Valor: 0 bps
ID: 1409530 | Nome: Interface cswlan12(b): Estimated upstream bandwidth | Key: fgIntfEntEstUpBandwidth.[22] | Valor: 0 bps
ID: 1409531 | Nome: Interface port1(): Estimated upstream bandwidth | Key: fgIntfEntEstUpBandwidth.[23] | Valor: 0 bps
ID: 1409532 | Nome: Interface port3(): Estimated upstream bandwidth | Key: fgIntfEntEstUpBandwidth.[24] | Valor: 0 bps
ID: 1409533 | Nome: Interface port5(): Estimated upstream bandwidth | Key: fgIntfEntEstUpBandwidth.[25] | Valor: 0 bps
ID: 1409534 | Nome: Interface port6(): Estimated upstream bandwidth | Key: fgIntfEntEstUpBandwidth.[26] | Valor: 0 bps
ID: 1409535 | Nome: Interface port7(): Estimated upstream bandwidth | Key: fgIntfEntEstUpBandwidth.[27] | Valor: 0 bps
ID: 1409536 | Nome: Interface port8(): Estimated upstream bandwidth | Key: fgIntfEntEstUpBandwidth.[28] | Valor: 0 bps
ID: 1409537 | Nome: Interface port9(): Estimated upstream bandwidth | Key: fgIntfEntEstUpBandwidth.[29] | Valor: 0 bps
ID: 1409510 | Nome: Interface mgmt(): Estimated upstream bandwidth | Key: fgIntfEntEstUpBandwidth.[2] | Valor: 0 bps
ID: 1409538 | Nome: Interface port10(): Estimated upstream bandwidth | Key: fgIntfEntEstUpBandwidth.[30] | Valor: 0 bps
ID: 1409539 | Nome: Interface port12(): Estimated upstream bandwidth | Key: fgIntfEntEstUpBandwidth.[31] | Valor: 0 bps
ID: 1409540 | Nome: Interface port13(): Estimated upstream bandwidth | Key: fgIntfEntEstUpBandwidth.[32] | Valor: 0 bps
ID: 1409541 | Nome: Interface port14(): Estimated upstream bandwidth | Key: fgIntfEntEstUpBandwidth.[33] | Valor: 0 bps
ID: 1409542 | Nome: Interface port15(): Estimated upstream bandwidth | Key: fgIntfEntEstUpBandwidth.[34] | Valor: 0 bps
ID: 1409543 | Nome: Interface port16(): Estimated upstream bandwidth | Key: fgIntfEntEstUpBandwidth.[35] | Valor: 0 bps
ID: 1409544 | Nome: Interface port17(): Estimated upstream bandwidth | Key: fgIntfEntEstUpBandwidth.[36] | Valor: 0 bps
ID: 1409545 | Nome: Interface port18(): Estimated upstream bandwidth | Key: fgIntfEntEstUpBandwidth.[37] | Valor: 0 bps
